Name,Tier,rare,elite,eliteonly,ilvl,maxlevel,frequency,plvlreq,group,mod1code,mod1min,mod1max,mod2code,mod2min,mod2max,mod3code,mod3min,mod3max,itype1,itype2,itype3,itype4,itype5,itype6,itype7,etype1,etype2,etype3,etype4,etype5
,2,1,1,0,,,8,2,7,heat-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,7,heat-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,7,heat-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,7,heat-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burn Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,8,burn-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,8,burn-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,8,burn-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,8,burn-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,8,burn-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,9,water-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,9,water-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,9,water-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,9,water-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,9,water-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ice Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,10,ice-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,10,ice-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,10,ice-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,10,ice-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,10,ice-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venom Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,11,venom-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,11,venom-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,11,venom-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,11,venom-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,11,venom-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acid Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,12,acid-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,12,acid-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,12,acid-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,12,acid-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,12,acid-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lightning Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,13,light-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,13,light-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,13,light-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,13,light-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,13,light-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spark Damage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,14,spark-dmg,mindam,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,14,spark-dmg,mindam + 5,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,14,spark-dmg,mindam + 10,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,14,spark-dmg,mindam + 15,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,14,spark-dmg,mindam + 20,maxdam * plvl,,,,,,,weapons,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fire Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,15,fire-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,15,fire-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,15,fire-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,15,fire-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,15,fire-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,15,fire-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Cold Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,16,cold-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,16,cold-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,16,cold-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,16,cold-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,16,cold-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,16,cold-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Poison Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,17,psn-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,17,psn-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,17,psn-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,17,psn-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,17,psn-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,17,psn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Electric Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,18,elec-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,18,elec-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,18,elec-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,18,elec-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,18,elec-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,18,elec-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Heat Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,19,heat-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,19,heat-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,19,heat-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,19,heat-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,19,heat-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,19,heat-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Burn Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,20,burn-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,20,burn-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,20,burn-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,20,burn-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,20,burn-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,20,burn-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Water Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,21,water-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,21,water-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,21,water-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,21,water-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,21,water-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,21,water-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Ice Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,22,ice-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,22,ice-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,22,ice-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,22,ice-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,22,ice-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,22,ice-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Venom Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,23,venom-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,23,venom-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,23,venom-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,23,venom-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,23,venom-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,23,venom-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Acid Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,24,acid-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,24,acid-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,24,acid-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,24,acid-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,24,acid-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,2,1,1,0,,,8,2,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,3,1,1,0,,,6,3,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,4,1,1,0,,,4,4,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
,5,1,1,0,,,2,5,24,acid-def,plvl + minblock,plvl * 3 + maxblock,,,,,,,magic weapons,,,,,,,,,,,
Lightning Defense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,1,1,0,,,10,1,25,light-def,minblock,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,2,1,1,0,,,8,2,25,light-def,minblock + 5,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,3,1,1,0,,,6,3,25,light-def,minblock + 10,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,4,1,1,0,,,4,4,25,light-def,minblock + 15,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
,5,1,1,0,,,2,5,25,light-def,minblock + 20,maxblock * plvl,,,,,,,offhand,,,,,,,,,,,
