TransLvl,NameStr,MonType,AI,Level,lUndead,hUndead,demon,flying,Skill1,Sk1mode,Sk1lvl,Skill2,Sk2mode,Sk2lvl,Skill3,Sk3mode,Sk3lvl,Skill4,Sk4mode,Sk4lvl,Skill5,Sk5mode,Sk5lvl,Skill6,Sk6mode,Sk6lvl,Skill7,Sk7mode,Sk7lvl,Skill8,Sk8mode,Sk8lvl,ResDm,ResMa,ResFi,ResLi,ResCo,ResPo,ToBlock,minHP,maxHP,AC,Exp,A1MinD,A1MaxD,A1TH,TreasureClass1,TreasureClass2,TreasureClass3
0,Afflicted,bighead,Bighead,12,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,11,66,127,63,81,76,113,77,Act 1 Cast C,Act 1 Champ C,Act 1 Unique C
1,Tainted,bighead,Bighead,11,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,10,67,130,63,81,63,101,74,Act 1 Cast C,Act 1 Champ C,Act 1 Unique C
2,Misshapen,bighead,Bighead,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,5,62,124,64,81,76,101,73,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
3,Disfigured,bighead,Bighead,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,8,67,128,63,81,67,101,77,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
4,Damned,bighead,Bighead,27,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,22,65,126,63,88,71,106,75,Act 4 Cast A,Act 4 Champ A,Act 4 Unique A
0,FoulCrow,foulcrow,BloodHawk,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,46,13,37,26,51,89,Act 1 Cast A,Act 1 Champ A,Act 1 Unique A
1,BloodHawk,foulcrow,BloodHawk,6,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,21,41,14,37,41,61,93,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
2,BlackRaptor,foulcrow,BloodHawk,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,17,21,45,13,37,37,64,94,Act 2 Cast B,Act 2 Champ B,Act 2 Unique B
3,CloudStalker,foulcrow,BloodHawk,22,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,30,,20,60,,,22,22,44,13,36,36,72,94,Act 3 Cast A,Act 3 Champ A,Act 3 Unique A
0,Fallen,fallen,Fallen,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,21,61,84,61,51,101,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,Carver,fallen,Fallen,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,24,54,84,61,51,101,91,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
2,Devilkin,fallen,Fallen,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,18,53,84,59,41,101,94,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
3,DarkOne,fallen,Fallen,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,23,55,84,60,43,101,91,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
4,WarpedFallen,fallen,Fallen,40,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,50,49,21,55,84,93,45,93,93,Act 5 H2H C,Act 5 Champ C,Act 5 Unique C
0,Brute,brute,Brute,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,139,224,84,121,76,101,91,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
1,Yeti,brute,Brute,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,10,146,236,84,121,58,101,95,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
2,Crusher,brute,Brute,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,19,143,231,84,120,62,101,93,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
3,WailingBeast,brute,Brute,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,20,,,,23,142,230,85,121,61,107,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
4,GargantuanBeast,brute,Brute,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,129,215,84,121,67,101,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
0,SandRaider,sandraider,SandRaider,13,,,,,Fire Hit,seq_firehit,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,136,211,84,117,67,101,175,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,Marauder,sandraider,SandRaider,17,,,,,Fire Hit,seq_firehit,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,134,212,84,117,64,101,175,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
2,Invader,sandraider,SandRaider,18,,,,,Fire Hit,seq_firehit,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,135,211,84,117,67,92,176,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,Infidel,sandraider,SandRaider,24,,,,,Fire Hit,seq_firehit,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,135,211,85,116,63,94,176,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,Assailant,sandraider,SandRaider,26,,,,,Fire Hit,seq_firehit,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,134,210,84,123,65,95,176,Act 4 H2H A,Act 4 Champ A,Act 4 Unique A
0,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Ghost,wraith,Wraith,7,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,50,8,83,165,84,93,61,121,94,Act 1 Wraith B,Act 1 Champ B,Act 1 Unique B
1,Wraith,wraith,Wraith,10,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,50,11,87,173,84,92,58,115,91,Act 1 Wraith C,Act 1 Champ C,Act 1 Unique C
2,Specter,wraith,Wraith,19,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,50,19,86,173,84,92,62,101,93,Act 2 Wraith C,Act 2 Champ C,Act 2 Unique C
3,Apparition,wraith,Wraith,20,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,50,20,86,172,85,93,62,108,93,Act 2 Wraith C,Act 2 Champ C,Act 2 Unique C
4,DarkShape,wraith,Wraith,22,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,50,22,85,172,85,93,65,108,94,Act 3 Wraith A,Act 3 Champ A,Act 3 Unique A
0,DarkHunter,corruptrogue,CorruptRogue,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,58,101,84,78,34,101,101,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,VileHunter,corruptrogue,CorruptRogue,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,62,101,84,78,51,126,91,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
2,DarkStalker,corruptrogue,CorruptRogue,8,,,1,,CountessFirewall,A1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,67,112,84,79,51,117,95,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
3,BlackRogue,corruptrogue,CorruptRogue,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,66,111,84,79,43,115,95,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
4,FleshHunter,corruptrogue,CorruptRogue,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,40,65,107,85,78,47,121,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,DuneBeast,baboon,Baboon,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,108,151,84,96,51,151,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
1,RockDweller,baboon,Baboon,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,108,151,84,96,51,151,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
2,JungleHunter,baboon,Baboon,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,107,151,85,97,51,151,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
3,DoomApe,baboon,Baboon,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,107,151,85,96,51,158,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,TempleGuard,baboon,Baboon,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,107,151,85,97,51,151,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,MoonClan,goatman,Goatman,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,110,137,51,91,76,126,89,Act 1 H2H A,Act 1 Champ A,Act 1 Unique A
1,NightClan,goatman,Goatman,6,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,114,141,51,91,81,141,93,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
2,BloodClan,goatman,Goatman,7,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,112,136,51,91,81,161,94,Act 1 H2H B,Act 1 Champ B,Act 1 Unique B
3,HellClan,goatman,Goatman,19,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,19,116,143,51,90,70,147,93,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
4,DeathClan,goatman,Goatman,10,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,30,20,,,,11,119,146,51,91,72,158,91,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
0,FallenShaman,fallen,FallenShaman,2,,,1,,Resurrect,seq_shamanresurrect,1,ShamanFire,seq_shamanresurrect,1,,,,,,,,,,,,,,,,,,,,,25,,,,4,58,101,84,81,34,101,101,Act 1 Cast A,Act 1 Champ A,Act 1 Unique A
1,CarverShaman,fallen,FallenShaman,6,,,1,,Resurrect,seq_shamanresurrect,1,ShamanFire,seq_shamanresurrect,1,,,,,,,,,,,,,,,,,,,,,30,,,,7,61,101,84,81,41,121,93,Act 1 Cast B,Act 1 Champ B,Act 1 Unique B
2,DevilkinShaman,fallen,FallenShaman,9,,,1,,Resurrect,seq_shamanresurrect,1,ShamanFire,seq_shamanresurrect,1,,,,,,,,,,,,,,,,,,,,,35,,,,10,66,111,84,81,43,115,95,Act 1 Cast C,Act 1 Champ C,Act 1 Unique C
3,DarkShaman,fallen,FallenShaman,11,,,1,,Resurrect,seq_shamanresurrect,1,ShamanFire,seq_shamanresurrect,1,,,,,,,,,,,,,,,,,,,,,40,,,,12,67,109,84,81,51,113,92,Act 1 Cast C,Act 1 Champ C,Act 1 Unique C
4,WarpedShaman,fallen,FallenShaman,40,,,1,,Resurrect,seq_shamanresurrect,1,ShamanFire,seq_shamanresurrect,1,,,,,,,,,,,,,,,,,,,,20,70,,,,39,65,107,84,125,53,121,93,Act 5 Cast C,Act 5 Champ C,Act 5 Unique C
0,QuillRat,quillrat,QuillRat,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,81,84,71,51,101,101,Quill 1,Act 1 Champ A,Act 1 Unique A
1,SpikeFiend,quillrat,QuillRat,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,24,85,84,71,26,126,91,Quill 2,Act 1 Champ A,Act 1 Unique A
2,ThornBeast,quillrat,QuillRat,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,23,89,84,71,34,117,95,Quill 3,Act 1 Champ B,Act 1 Unique B
3,RazorSpine,quillrat,QuillRat,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,21,86,84,71,29,115,95,Quill 4,Act 1 Champ C,Act 1 Unique C
4,JungleUrchin,quillrat,QuillRat,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,22,87,84,71,34,117,92,Quill 5,Act 3 Champ A,Act 3 Unique A
0,SandMaggot,sandmaggot,SandMaggot,16,,,,,MagottUp,seq_maggotup,1,MagottDown,seq_maggotdown,1,MagottLay,seq_maggotlay,1,,,,,,,,,,,,,,,,,,,,,,17,139,174,84,117,82,182,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,RockWorm,sandmaggot,SandMaggot,17,,,,,MagottUp,seq_maggotup,1,MagottDown,seq_maggotdown,1,MagottLay,seq_maggotlay,1,,,,,,,,,,,,,,,,,,,,,,17,139,173,84,117,91,191,92,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,Devourer,sandmaggot,SandMaggot,19,,,,,MagottUp,seq_maggotup,1,MagottDown,seq_maggotdown,1,MagottLay,seq_maggotlay,1,,,,,,,,,,,,,,,,,,,,,,19,141,173,84,116,85,177,93,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,GiantLamprey,sandmaggot,SandMaggot,21,,,,,MagottUp,seq_maggotup,1,MagottDown,seq_maggotdown,1,MagottLay,seq_maggotlay,1,,,,,,,,,,,,,,,,,,,,,,21,139,171,85,117,86,186,94,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
4,WorldKiller,sandmaggot,SandMaggot,27,,,,,MagottUp,seq_maggotup,1,MagottDown,seq_maggotdown,1,MagottLay,seq_maggotlay,1,,,,,,,,,,,,,,,,,,,,,,27,140,172,84,127,89,189,93,Act 4 H2H A,Act 4 Champ A,Act 4 Unique A
0,TombViper,clawviper,ClawViper,11,,,,,SerpentCharge,seq_serpentcharge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,67,109,84,78,51,88,92,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
1,ClawViper,clawviper,ClawViper,15,,,,,SerpentCharge,seq_serpentcharge,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,,16,66,107,84,78,61,101,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,Salamander,clawviper,ClawViper,18,,,,,SerpentCharge,seq_serpentcharge,1,,,,,,,,,,,,,,,,,,,,,,,,,,40,,18,66,108,84,78,51,92,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,PitViper,clawviper,ClawViper,22,,,,,SerpentCharge,seq_serpentcharge,1,,,,,,,,,,,,,,,,,,,,,,,,,,60,60,22,66,107,85,78,58,101,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,SerpentMagus,clawviper,ClawViper,24,,,,,SerpentCharge,seq_serpentcharge,1,,,,,,,,,,,,,,,,,,,,,,,40,,,80,20,24,65,107,85,78,51,94,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,SandLeaper,sandleaper,SandLeaper,14,,,,,MonLeap,seq_leaperleap,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,194,84,94,61,121,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,CaveLeaper,sandleaper,SandLeaper,15,,,,,MonLeap,seq_leaperleap,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,66,194,84,94,61,121,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,TombCreeper,sandleaper,SandLeaper,17,,,,,MonLeap,seq_leaperleap,3,,,,,,,,,,,,,,,,,,,,,,,,40,,,,17,64,192,84,94,64,128,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,TreeLurker,sandleaper,SandLeaper,22,,,,,MonLeap,seq_leaperleap,4,,,,,,,,,,,,,,,,,,,,,,,,20,40,,,22,66,192,85,94,65,122,94,Act 3 H2H A,Act 3 Champ A,Act 3 Unique A
4,RazorPitDemon,sandleaper,SandLeaper,26,,,,,MonLeap,seq_leaperleap,5,,,,,,,,,,,,,,,,,,,,,,20,,60,40,,,26,65,193,84,99,59,118,93,Act 4 H2H A,Act 4 Champ A,Act 4 Unique A
0,Huntress,pantherwoman,PantherWoman,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,57,97,64,71,51,121,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,SaberCat,pantherwoman,PantherWoman,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,57,97,63,70,51,121,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,NightTiger,pantherwoman,PantherWoman,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,59,95,63,71,55,128,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,HellCat,pantherwoman,PantherWoman,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,58,96,63,70,47,116,93,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
0,Itchies,swarm,Swarm,16,,,,,Swarm Move,seq_swarmmove,1,,,,,,,,,,,,,,,,,,,,,,60,,,,,,17,21,45,84,61,73,91,94,Swarm 1,Act 2 Champ B,Act 2 Unique B
1,BlackLocusts,swarm,Swarm,17,,,,,Swarm Move,seq_swarmmove,1,,,,,,,,,,,,,,,,,,,,,,70,,,,,,17,23,45,84,61,73,91,92,Swarm 1,Act 2 Champ B,Act 2 Unique B
2,PlagueBugs,swarm,Swarm,21,,,,,Swarm Move,seq_swarmmove,1,,,,,,,,,,,,,,,,,,,,,,80,,,,,,21,21,44,85,61,72,86,94,Swarm 2,Act 3 Champ B,Act 3 Unique B
3,HellSwarm,swarm,Swarm,22,,,,,Swarm Move,seq_swarmmove,1,,,,,,,,,,,,,,,,,,,,,,90,,,40,,,22,22,44,85,61,79,93,94,Swarm 2,Act 3 Champ B,Act 3 Unique B
0,DungSoldier,scarab,Scarab,14,,,,,Jab,seq_scarabjab,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,111,84,125,51,151,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,SandWarrior,scarab,Scarab,16,,,,,Jab,seq_scarabjab,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,68,112,84,125,55,155,94,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
2,Scarab,scarab,Scarab,17,,,,,Jab,seq_scarabjab,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,67,112,84,125,55,155,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,SteelWeevil,scarab,Scarab,19,,,,,Jab,seq_scarabjab,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,68,111,84,125,47,147,93,Act 2 H2H C,Act 2 Champ C,Act 2 Unique C
4,AlbinoRoach,scarab,Scarab,24,,,,,Jab,seq_scarabjab,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,67,111,85,125,51,151,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
0,DriedCorpse,mummy,Mummy,13,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,14,68,158,84,86,56,112,93,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
1,Decayed,mummy,Mummy,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,16,69,157,84,87,61,111,94,Act 2 H2H A,Act 2 Champ A,Act 2 Unique A
2,Embalmed,mummy,Mummy,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,18,69,156,84,86,51,109,92,Act 2 H2H B,Act 2 Champ B,Act 2 Unique B
3,PreservedDead,mummy,Mummy,23,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,23,69,155,85,86,54,107,92,Act 3 H2H B,Act 3 Champ B,Act 3 Unique B
4,Cadaver,mummy,Mummy,25,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,25,70,154,85,89,57,107,93,Act 3 H2H C,Act 3 Champ C,Act 3 Unique C
0,HollowOne,unraveler,GreaterMummy,15,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,1,,,,,,,,,,,,,,,,,,,,,50,,194,238,84,136,121,161,94,Act 2 Cast A,Act 2 Champ A,Act 2 Unique A
1,Guardian,unraveler,GreaterMummy,18,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,2,,,,,,,,,,,,,,,,,,,,,50,,193,237,84,136,117,151,92,Act 2 Cast B,Act 2 Champ B,Act 2 Unique B
2,Unraveler,unraveler,GreaterMummy,20,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,3,,,,,,,,,,,,,,,,,,,,,50,,193,236,85,136,124,154,93,Act 2 Cast C,Act 2 Champ C,Act 2 Unique C
3,Horadrim Ancient,unraveler,GreaterMummy,23,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,4,,,,,,,,,,,,,,,,,,,,,50,,192,236,85,136,121,154,92,Act 3 Cast B,Act 3 Champ B,Act 3 Unique B
4,Baal Subject Mummy,unraveler,GreaterMummy,40,,1,,,Resurrect2,seq_mummyres,1,Bestow,seq_mummyres,1,UnHolyBolt,seq_mummyres,5,,,,,,,,,,,,,,,,,,,,,50,,192,235,84,211,121,153,93,Act 5 Cast B,Act 5 Champ B,Act 5 Unique B
0,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,unused,,Idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,CarrionBird,vulture,Vulture,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,67,107,84,83,91,121,94,Swarm 1,Act 2 Champ A,Act 2 Unique A
1,UndeadScavenger,vulture,Vulture,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,66,107,84,83,91,121,94,Swarm 1,Act 2 Champ A,Act 2 Unique A
2,HellBuzzard,vulture,Vulture,22,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,66,107,85,83,93,122,94,Swarm 2,Act 3 Champ B,Act 3 Unique B
3,WingedNightmare,vulture,Vulture,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,65,107,85,83,94,121,92,Swarm 2,Act 3 Champ B,Act 3 Unique B
0,Sucker,mosquito,Mosquito,21,,,,1,Mosquito,seq_mosquitoskill,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,107,85,74,51,122,94,Swarm 2,Act 3 Champ A,Act 3 Unique A
1,Feeder,mosquito,Mosquito,23,,,,1,Mosquito,seq_mosquitoskill,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,107,85,74,54,121,92,Swarm 2,Act 3 Champ B,Act 3 Unique B
2,BloodHook,mosquito,Mosquito,22,,,,1,Mosquito,seq_mosquitoskill,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22,107,85,74,51,122,94,Swarm 2,Act 3 Champ B,Act 3 Unique B
3,BloodWing,mosquito,Mosquito,24,,,,1,Mosquito,seq_mosquitoskill,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,107,85,74,51,119,92,Swarm 2,Act 3 Champ B,Act 3 Unique B
0,Gloam,willowisp,WillOWisp,21,1,,,1,Chain Lightning,SC,1,,,,,,,,,,,,,,,,,,,,,,40,,,50,,,21,44,87,85,74,36,151,94,Act 3 Wraith A,Act 3 Champ A,Act 3 Unique A
1,SwampGhost,willowisp,WillOWisp,23,1,,,1,Chain Lightning,SC,2,,,,,,,,,,,,,,,,,,,,,,50,,,60,,,23,44,86,85,74,34,154,92,Act 3 Wraith B,Act 3 Champ B,Act 3 Unique B
2,BurningSoul,willowisp,WillOWisp,26,1,,,1,Chain Lightning,SC,3,,,,,,,,,,,,,,,,,,,,,,60,,,70,,,26,45,86,84,78,36,153,93,Act 4 Wraith A,Act 3 Champ A,Act 3 Unique A
3,BlackSoul,willowisp,WillOWisp,28,1,,,1,Chain Lightning,SC,4,,,,,,,,,,,,,,,,,,,,,,70,,,80,,,28,44,87,84,82,34,151,93,Act 4 Wraith B,Act 3 Champ B,Act 3 Unique B
0,Arach,arach,Arach,11,,,,,SpiderLay,A2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,155,192,84,114,88,138,92,Act 1 H2H C,Act 1 Champ C,Act 1 Unique C
